scn_mbs_osi_runID_004_00157_Int-400_Exp-10800_08Oct16_21:15_to_09Oct16_00:19.fits
Ext BITPIX Dimens.   Nulls    Min    Max     Mean    Sigma  Noise2  Noise3  Noise5  Nbits   MaxR
2  -32 (4112,4220)     0 -19018 10000000000 376786.8  6.1e+07    57.7    59.0    60.2   7.6   4.19
3  -32 (4112,4220)     0  -9971 10000000000 367866.5  6.1e+07    60.5    61.7    63.0   7.7   4.15
4  -32 (4112,4220)     0 -10879 10000000000 458243.9  6.8e+07    46.7    47.6    48.3   7.3   4.36
5  -32 (4112,4220)     0 -15235 10000000000 245869.0  5.0e+07    44.2    44.8    45.2   7.3   4.41
6  -32 (4112,4220)     0 -24853 10000000000 676045.8  8.2e+07    72.2    74.0    75.4   8.0   4.02
7  -32 (4112,4220)     0 -24096 10000000000 849171.5  9.2e+07    77.3    79.3    80.8   8.1   3.97
8  -32 (4112,4220)     0 -22043 10000000000 1450549.5  1.2e+08    54.1    55.1    56.0   7.6   4.24
9  -32 (4112,4220)     0 -16667 10000000000 406538.1  6.4e+07    61.7    62.9    63.9   7.7   4.13
10  -32 (4112,4220)     0 -25826 10000000000 1332237.5  1.2e+08    80.7    82.6    84.1   8.1   3.94
11  -32 (4112,4220)     0 -19361 10000000000 665369.6  8.2e+07    80.8    82.6    83.9   8.1   3.94
12  -32 (4112,4220)     0 -15324 10000000000 715898.2  8.5e+07    65.9    67.3    68.5   7.8   4.08
13  -32 (4112,4220)     0 -11061 10000000000 905130.5  9.5e+07    87.5    89.4    90.5   8.2   3.88

scn_mbs_osi_runID_004_00168_Int-400_Exp-10800_10Oct16_09:47_to_10Oct16_12:51.fits
Ext BITPIX Dimens.   Nulls    Min    Max     Mean    Sigma  Noise2  Noise3  Noise5  Nbits   MaxR
0  -32 (4112,4220)     0  -4379 10000000000 300652.4  5.5e+07    74.8    76.5    77.4   8.0   3.99
1  -32 (4112,4220)     0 -18431 10000000000 643947.9  8.0e+07    85.1    87.0    88.2   8.2   3.90
2  -32 (4112,4220)     0 -18948 10000000000 342282.9  5.8e+07    58.5    59.7    60.7   7.7   4.18
3  -32 (4112,4220)     0  -9963 10000000000 407726.7  6.4e+07    61.5    62.8    64.0   7.7   4.14
4  -32 (4112,4220)     0 -11038 10000000000 464195.3  6.8e+07    47.3    48.2    48.8   7.4   4.35
5  -32 (4112,4220)     0 -14771 10000000000 220887.2  4.7e+07    44.8    45.4    45.7   7.3   4.40
